year,hurricane,basin,n_valid,t_start,peak_obs_kts,peak_fast_kts,peak_ml_kts,fast_rmse_kts,ml_rmse_kts,rmse_gain_kts,fast_bias_kts,ml_bias_kts,fast_corr,ml_corr
2003,AL012003_north_atlantic_ANA,north_atlantic,210,48,49.99984201324463,48.93158936345929,52.16738551135508,15.033622114900835,5.659273224056822,9.374348890844013,-11.767411512869819,-0.7181525971085115,0.6916993855711115,0.754843988044701
2003,AL042003_north_atlantic_CLAUDETTE,north_atlantic,253,48,79.81634210876464,56.17996562703189,52.104891758967014,14.461437238703729,21.157100107533534,-6.695662868829805,-10.413125867549493,-16.09279468019206,0.6002782767250486,0.334728747800323
2003,AL052003_north_atlantic_DANNY,north_atlantic,259,48,64.99979721252441,63.667993605734296,61.86520782767276,4.765680883227664,4.838750240535424,-0.07306935730775965,-1.7766596129508787,0.9191534448715013,0.9628950405484127,0.9698292127589039
2003,AL102003_north_atlantic_FABIAN,north_atlantic,313,48,124.99959576416016,119.22803016634006,134.85158542944134,28.268148300222034,22.571753358511447,5.696394941710587,-17.44637083901264,-5.699734424198298,0.6649966109330604,0.7351738985747472
2003,AL122003_north_atlantic_HENRI,north_atlantic,121,48,49.99984201324463,72.10961044503385,67.36528620760602,24.68522226150119,17.14327974330319,7.541942518197999,18.679399775546017,12.755566221002136,0.0715807224779783,0.20418109610273
2003,AL132003_north_atlantic_ISABEL,north_atlantic,337,48,144.99954591674805,112.77071507092656,122.01168492935716,29.51409669520001,25.933651503989502,3.580445191210508,-21.19312010540574,-15.503651816832592,0.7941208932068047,0.7793640070191646
2003,AL152003_north_atlantic_JUAN,north_atlantic,121,48,89.99971636535645,73.70661853994451,77.3105753857021,18.020288118443705,10.336558043456085,7.68373007498762,-11.033305484397427,-5.644751193668463,0.7235555118431055,0.9171237562693637
2003,AL162003_north_atlantic_KATE,north_atlantic,336,48,109.99965168762208,66.60699357239896,95.54621605097793,34.29655304965284,14.872538944004612,19.424014105648233,-26.120448621185368,-8.338624346702629,0.18326904154478135,0.8292834146660157
2003,AL172003_north_atlantic_LARRY,north_atlantic,174,48,54.99982584381104,87.80507451764076,64.8248240473729,9.653602920656501,6.938234365021244,2.7153685556352576,1.0371493909913578,-1.9345461863266473,0.900627888197379,0.9394755209632999
2003,AL192003_north_atlantic_NICHOLAS,north_atlantic,444,48,59.99980967437744,52.55114959515723,47.88592912010642,13.528783912423885,10.32601626236432,3.202767650059565,-11.270751394547265,-6.3571787916528715,0.8452185558671692,0.728858021129625
2003,AL202003_north_atlantic_ODETTE,north_atlantic,127,48,54.99982584381104,64.45350168070436,62.27665834960283,18.673300637859235,16.49021007090365,2.1830905669555847,-12.73469350879625,-11.242610050020978,0.7475814435456515,0.7647868615907051
2004,AL012004_north_atlantic_ALEX,north_atlantic,145,48,104.99966785705567,57.24643670751197,77.89217929404779,32.337051189702514,21.722328087355294,10.61472310234722,-23.421554383793865,-16.00020752938711,0.5600596443452843,0.9213724589077532
2004,AL022004_north_atlantic_BONNIE,north_atlantic,138,48,54.99982584381104,53.48795073646493,51.18445933759823,6.850335843063802,6.839047073564071,0.01128876949973101,-2.5563202070649185,-2.909202912300361,0.8251645790269725,0.8266340387600611
2004,AL032004_north_atlantic_CHARLEY,north_atlantic,145,48,129.54292431152345,60.387697494367664,60.275365497434635,37.11372276115095,36.97218147867435,0.14154128247660225,-25.533955732149458,-25.411193416977557,0.1910413419189274,0.1976918377655502
2004,AL042004_north_atlantic_DANIELLE,north_atlantic,271,48,94.99970019592286,96.2789885604036,111.75813188321331,18.006401609143968,17.385935046888356,0.6204665622556114,-13.287398021202437,-10.768949990513732,0.8942004189447789,0.8897472642331173
2004,AL062004_north_atlantic_FRANCES,north_atlantic,211,48,124.99959576416016,125.15490361275747,125.10089817933893,15.338260990504843,13.774157940934831,1.5641030495700114,-11.717628976325715,-7.7348918968574125,0.9709731947954003,0.9580502327244267
2004,AL092004_north_atlantic_IVAN,north_atlantic,480,48,144.99954591674805,137.36948228928028,140.5738809375266,20.32627077375843,17.153379838816978,3.172890934941453,-14.204076199543048,-11.95347655468357,0.9490578461547993,0.9640794110764404
2004,AL112004_north_atlantic_JEANNE,north_atlantic,379,48,104.99966785705567,60.27231452009334,128.71258770142327,36.44304857537282,28.495760952901783,7.947287622471038,-29.71815280246907,-20.2563223485602,0.41814989836866184,0.6665060948501544
2004,AL122004_north_atlantic_KARL,north_atlantic,283,48,124.99959576416016,122.5280009237244,123.7257630229103,17.04454157924343,15.53816843959535,1.5063731396480797,-4.060917491079498,-0.31814177700023166,0.9013600952329627,0.9204050971829806
2004,AL132004_north_atlantic_LISA,north_atlantic,325,48,64.99979721252441,87.58996489592637,66.92743420473596,27.246746001038364,11.196918596969919,16.049827404068445,17.950083767843932,4.445842944097265,-0.25054653452537107,0.43382961125476827
2005,AL012005_north_atlantic_ARLENE,north_atlantic,133,48,59.99980967437744,55.67718009659972,56.110987145618495,5.051600169436519,4.89893997993109,0.15266018950542826,-1.8449481176354257,-1.735529377907192,0.9506684004732419,0.9539834028079116
2005,AL032005_north_atlantic_CINDY,north_atlantic,181,48,64.99979721252441,76.15757388591861,71.960882872349,12.727732352424015,12.544502248327445,0.1832301040965696,-5.390818352498542,-5.43363763964472,0.8510376956272282,0.8447848436925915
2005,AL042005_north_atlantic_DENNIS,north_atlantic,325,48,129.99959442504883,123.16981838012681,135.36738350723923,12.952269428124204,10.200895358615114,2.7513740695090902,-5.9874302260756895,-2.839243782836216,0.9625671571560794,0.9701583190958776
2005,AL052005_north_atlantic_EMILY,north_atlantic,246,48,139.99956208618164,117.86355910036069,127.7886326095899,11.324356768551713,14.447105945270444,-3.122749176718731,-7.3157246717642215,-5.984627222380989,0.9716319627792777,0.9266449119767802
2005,AL062005_north_atlantic_FRANKLIN,north_atlantic,223,48,59.99980967437744,69.13419407053898,65.76952222522263,11.51991028532615,8.784951147674104,2.734959137652046,2.7968879427270656,1.6197984713759386,0.34751831318600385,0.4982185439889213
2005,AL082005_north_atlantic_HARVEY,north_atlantic,271,48,54.99982584381104,55.30311899297003,55.75249031491953,17.129941571556454,11.71511746611186,5.414824105444595,-13.644864983717499,-8.208246134360232,0.6881826351871092,0.7905744426848754
2005,AL092005_north_atlantic_IRENE,north_atlantic,204,48,89.99971636535645,79.84285208718521,84.46935947884924,7.019720803473542,16.847430395287894,-9.82770959181435,-4.487424362889594,-9.724118348987936,0.9475242761943197,0.5723846998352996
2005,AL122005_north_atlantic_KATRINA,north_atlantic,181,48,149.99952974731445,105.10639804521533,115.99119344947223,28.07465205460923,20.37265611643681,7.70199593817242,-18.643313679032595,-12.495097738488147,0.8928659061773355,0.9382079943222346
2005,AL142005_north_atlantic_MARIA,north_atlantic,301,48,99.99968402648926,72.5871271333996,55.875735700875936,26.034671903046124,24.431474428093622,1.603197474952502,-20.224931442808316,-18.871153403713638,0.5858980671228956,0.3997315961784011
2005,AL152005_north_atlantic_NATE,north_atlantic,169,48,79.99974870422363,84.65312841939497,106.29772289037655,8.136564403221888,14.614028325011024,-6.477463921789136,-1.9370895515173516,8.169922696079718,0.9640146856348928,0.9187996451985472
2005,AL162005_north_atlantic_OPHELIA,north_atlantic,403,48,74.99976487365723,73.9152425127065,84.66177348920579,19.42427962392673,15.23949034385051,4.1847892800762185,-15.536031176654056,-2.8668298614251855,0.7351948007862541,0.8277348640445222
2005,AL172005_north_atlantic_PHILIPPE,north_atlantic,163,48,69.99978104309082,134.06900436311264,86.30092959150434,47.357617889763695,27.617003854946432,19.740614034817263,29.94445809171318,18.445625001765958,-0.4664931170519945,-0.16297843514875957
2005,AL182005_north_atlantic_RITA,north_atlantic,199,48,154.99951357788086,84.16919834292403,114.71391270603016,31.006757027718727,24.210808817375597,6.795948210343131,-19.39582050725929,-11.867664207863497,0.8891102170674803,0.8917682418942722
2005,AL252005_north_atlantic_WILMA,north_atlantic,264,48,159.99949740844727,142.64616032923158,133.02545077662927,34.13625869736063,20.27457743498401,13.86168126237662,-21.156773217247046,-11.847753404383132,0.7836908731032091,0.9016123101571764
2005,AL272005_north_atlantic_BETA,north_atlantic,103,48,99.99968402648926,108.60038750158408,89.29082560481112,9.285966309559555,13.194632491996527,-3.9086661824369724,-3.89371024238804,-7.946821976598857,0.9132359402270604,0.894792456639107
2005,AL292005_north_atlantic_DELTA,north_atlantic,204,48,59.99980967437744,45.66192112570599,45.739579004657315,31.41509562672366,16.225833306441846,15.189262320281813,-25.88461038492313,-11.73666191102053,-0.2887751425606203,-0.06169027329004645
2005,AL302005_north_atlantic_EPSILON,north_atlantic,253,48,74.99976487365723,55.35550691033987,60.49411894037506,31.05952684492115,11.305514011692486,19.754012833228664,-24.779244354619514,-4.826319250279173,0.12443306871648047,0.72179563298957
2005,AL312005_north_atlantic_ZETA,north_atlantic,211,48,54.99982584381104,50.115666402155895,50.11971102527687,19.630506636795364,10.126072412542207,9.504434224253156,-15.521372965593574,-7.2370881330144785,0.5403718546576284,0.7407196910559749
2006,AL012006_north_atlantic_ALBERTO,north_atlantic,216,48,59.99980967437744,46.79928686219501,47.19378998754351,22.164846449017666,21.41119613329076,0.7536503157269081,-17.56545402872459,-16.475523595952634,0.33177691856074165,0.33967720809479296
2006,AL042006_north_atlantic_CHRIS,north_atlantic,133,48,54.99982584381104,83.0544686064333,54.96880799055371,32.82806015711718,17.85892255253471,14.969137604582468,23.54603709475189,13.570088571961852,-0.5920425092208927,0.3766411029430932
2006,AL062006_north_atlantic_ERNESTO,north_atlantic,253,48,64.99979721252441,103.32226823582653,83.90967532705473,22.169670278505194,17.66709154516306,4.502578733342133,8.292840282871778,3.219390042065525,0.5637589205798232,0.5568871472198015
2006,AL072006_north_atlantic_FLORENCE,north_atlantic,294,48,79.99974870422363,82.96147576306215,66.07028713186125,21.107275965437843,20.168605133195477,0.9386708322423658,-12.826659713816554,-15.5817636774348,0.7428299442555832,0.7216194127180046
2006,AL082006_north_atlantic_GORDON,north_atlantic,337,48,104.99966785705567,78.16935966795609,94.038261757075,28.756430062201765,22.937333547441867,5.819096514759899,-25.20772791872296,-14.571743025868916,0.7744602080461801,0.6562587909536419
2006,AL092006_north_atlantic_HELENE,north_atlantic,348,48,104.99966785705567,109.60324754394979,119.32633742849237,18.385601407509,16.24847499294384,2.1371264145651594,-0.6367842853391019,7.949697454799391,0.7645472414630801,0.9093826861271344
2006,AL102006_north_atlantic_ISAAC,north_atlantic,139,48,74.99976487365723,56.8077648424296,56.30351675340518,12.459143589348535,13.531262791117259,-1.0721192017687233,-9.041912649563214,-9.842867875469247,0.8134058831701863,0.7654186987244714
2007,AL012007_north_atlantic_ANDREA,north_atlantic,181,48,64.99979721252441,65.34895652113032,65.36442320337775,13.51251158178747,22.58927304699797,-9.0767614652105,10.13071421171113,17.288921280532247,0.8103999836882323,-0.0004067400752423458
2007,AL022007_north_atlantic_BARRY,north_atlantic,133,48,49.99984201324463,63.694986670662,67.30275151087973,14.613177752478242,14.467181231961492,0.14599652051674994,-4.74059446870292,-3.6502530893132987,0.35020658893087425,0.3667354743474384
